failed_number,passed_number,version,product_name
49,0,1.0,"AMO (Addons.mozilla.org)"
1,0,1,Automation
2,0,1.0,BrowserID
54,1,15,"Desktop Firefox"
38,0,16,"Desktop Firefox"
18,0,17,"Desktop Firefox"
35,0,18,"Desktop Firefox"
33,0,19,"Desktop Firefox"
29,0,20,"Desktop Firefox"
42,0,21,"Desktop Firefox"
46,0,22,"Desktop Firefox"
93,0,23,"Desktop Firefox"
77,0,24,"Desktop Firefox"
43,0,25,"Desktop Firefox"
67,0,26,"Desktop Firefox"
45,0,27,"Desktop Firefox"
29,0,28,"Desktop Firefox"
13,0,29,"Desktop Firefox"
10,0,ESR10,"Desktop Firefox"
12,0,ESR17,"Desktop Firefox"
82,0,ESR24,"Desktop Firefox"
10,0,"Firefox 24","Firefox Metro"
10,0,"Firefox 25","Firefox Metro"
6,0,"Firefox 28","Firefox Metro"
12,0,"Firefox 29","Firefox Metro"
1361,0,v1.0,"Firefox OS"
390,0,v1.0.1,"Firefox OS"
4,0,v1.1,"Firefox OS"
1003,0,v1.1.0,"Firefox OS"
56,0,"v1.1.0 hd","Firefox OS"
1752,0,v1.2,"Firefox OS"
1019,0,v1.3,"Firefox OS"
80,0,v1.4+,"Firefox OS"
736,0,1.0,Marketplace
113,1,15,"Mobile Firefox"
90,0,"15 for Tablets","Mobile Firefox"
110,0,16,"Mobile Firefox"
103,0,"16 for Tablets","Mobile Firefox"
108,0,17,"Mobile Firefox"
106,0,"17 Tablets","Mobile Firefox"
136,0,18,"Mobile Firefox"
133,0,"18 Tablets","Mobile Firefox"
103,0,19,"Mobile Firefox"
114,0,"19 Tablets","Mobile Firefox"
150,0,20,"Mobile Firefox"
94,0,"20 Tablets","Mobile Firefox"
100,0,21,"Mobile Firefox"
87,0,"21 Tablet","Mobile Firefox"
116,0,22,"Mobile Firefox"
98,0,"22 Tablet","Mobile Firefox"
139,0,23,"Mobile Firefox"
104,0,"23 Tablet","Mobile Firefox"
100,0,24,"Mobile Firefox"
49,0,"24 Tablet","Mobile Firefox"
100,0,25,"Mobile Firefox"
104,0,"25 Tablet","Mobile Firefox"
59,0,26,"Mobile Firefox"
62,0,"26 Tablet","Mobile Firefox"
94,0,27,"Mobile Firefox"
78,0,"27 Tablet","Mobile Firefox"
33,0,28,"Mobile Firefox"
46,0,"28 Tablet","Mobile Firefox"
22,0,29,"Mobile Firefox"
37,0,"29 Tablet","Mobile Firefox"
7,0,"30 Tablet","Mobile Firefox"
3,0,0.9,MozTrap
5,21,1.1,MozTrap
1,0,1.2,MozTrap
2,0,1.4,MozTrap
4,0,1.4.5,MozTrap
1,0,5,"product for testing"
60,0,Trunk,Thunderbird
1,0,1.0,"Tony's product"
