cases_steps_with_result_number,product_name,version
49,"AMO (Addons.mozilla.org)",1.0
1,Automation,1
2,BrowserID,1.0
56,"Desktop Firefox",15
38,"Desktop Firefox",16
18,"Desktop Firefox",17
35,"Desktop Firefox",18
33,"Desktop Firefox",19
29,"Desktop Firefox",20
42,"Desktop Firefox",21
46,"Desktop Firefox",22
93,"Desktop Firefox",23
77,"Desktop Firefox",24
43,"Desktop Firefox",25
67,"Desktop Firefox",26
45,"Desktop Firefox",27
29,"Desktop Firefox",28
13,"Desktop Firefox",29
10,"Desktop Firefox",ESR10
12,"Desktop Firefox",ESR17
82,"Desktop Firefox",ESR24
10,"Firefox Metro","Firefox 24"
10,"Firefox Metro","Firefox 25"
6,"Firefox Metro","Firefox 28"
12,"Firefox Metro","Firefox 29"
1361,"Firefox OS",v1.0
390,"Firefox OS",v1.0.1
4,"Firefox OS",v1.1
1003,"Firefox OS",v1.1.0
56,"Firefox OS","v1.1.0 hd"
1752,"Firefox OS",v1.2
1019,"Firefox OS",v1.3
80,"Firefox OS",v1.4+
737,Marketplace,1.0
114,"Mobile Firefox",15
90,"Mobile Firefox","15 for Tablets"
110,"Mobile Firefox",16
103,"Mobile Firefox","16 for Tablets"
108,"Mobile Firefox",17
106,"Mobile Firefox","17 Tablets"
136,"Mobile Firefox",18
133,"Mobile Firefox","18 Tablets"
103,"Mobile Firefox",19
114,"Mobile Firefox","19 Tablets"
150,"Mobile Firefox",20
94,"Mobile Firefox","20 Tablets"
100,"Mobile Firefox",21
87,"Mobile Firefox","21 Tablet"
116,"Mobile Firefox",22
98,"Mobile Firefox","22 Tablet"
139,"Mobile Firefox",23
104,"Mobile Firefox","23 Tablet"
100,"Mobile Firefox",24
49,"Mobile Firefox","24 Tablet"
100,"Mobile Firefox",25
104,"Mobile Firefox","25 Tablet"
59,"Mobile Firefox",26
62,"Mobile Firefox","26 Tablet"
94,"Mobile Firefox",27
78,"Mobile Firefox","27 Tablet"
33,"Mobile Firefox",28
46,"Mobile Firefox","28 Tablet"
22,"Mobile Firefox",29
37,"Mobile Firefox","29 Tablet"
7,"Mobile Firefox","30 Tablet"
3,MozTrap,0.9
26,MozTrap,1.1
1,MozTrap,1.2
2,MozTrap,1.4
4,MozTrap,1.4.5
1,"product for testing",5
60,Thunderbird,Trunk
1,"Tony's product",1.0
