version,product_name
all,Affiliates
1.0,"AMO (Addons.mozilla.org)"
1,Automation
1.0,"Battery API"
1.0,BrowserID
12,"Desktop Firefox"
13,"Desktop Firefox"
14,"Desktop Firefox"
13,"Desktop Firefox"
15,"Desktop Firefox"
16,"Desktop Firefox"
17,"Desktop Firefox"
ESR10,"Desktop Firefox"
18,"Desktop Firefox"
19,"Desktop Firefox"
ESR17,"Desktop Firefox"
20,"Desktop Firefox"
21,"Desktop Firefox"
22,"Desktop Firefox"
22.0a1,"Desktop Firefox"
23,"Desktop Firefox"
24,"Desktop Firefox"
25,"Desktop Firefox"
26,"Desktop Firefox"
ESR24,"Desktop Firefox"
ESR24,"Desktop Firefox"
27,"Desktop Firefox"
28,"Desktop Firefox"
28.next,"Desktop Firefox"
29,"Desktop Firefox"
30,"Desktop Firefox"
26,"Desktop Firefox"
12,Firefox
13,Firefox
14,Firefox
15,Firefox
13,Firefox
14,Firefox
15,Firefox
12,Firefox
"Firefox 24","Firefox Metro"
"Firefox 25","Firefox Metro"
"Firefox 25","Firefox Metro"
"Firefox 26","Firefox Metro"
"Firefox 29","Firefox Metro"
"Firefox 28","Firefox Metro"
v1.0,"Firefox OS"
v1.1,"Firefox OS"
v2,"Firefox OS"
v2.0,"Firefox OS"
"Firefox OS v1.0.1","Firefox OS"
v1.0.1,"Firefox OS"
v1.0.1.next,"Firefox OS"
"v1.0.2 (Test)","Firefox OS"
"v1.0.3 (Test)","Firefox OS"
v1.1.0,"Firefox OS"
v1.2,"Firefox OS"
"v1.1.0 hd","Firefox OS"
"v1.1.0 hd","Firefox OS"
v1.3,"Firefox OS"
"v1.3 Tablet","Firefox OS"
v1.4+,"Firefox OS"
v1.3+,"Firefox OS Tablet"
v1.3+,"Firefox OS Tablet"
1.0,Marketplace
Colombia,Marketplace
"1.0 Seahorse",Marketplace
13,"Mobile Firefox"
14,"Mobile Firefox"
15,"Mobile Firefox"
16,"Mobile Firefox"
"15 [Tablet]","Mobile Firefox"
"16 [Tablet]","Mobile Firefox"
"15 for Tablets","Mobile Firefox"
"16 for Tablets","Mobile Firefox"
"16 for Tablets","Mobile Firefox"
17,"Mobile Firefox"
17,"Mobile Firefox"
18,"Mobile Firefox"
"Firefox Mobile 18","Mobile Firefox"
18,"Mobile Firefox"
18,"Mobile Firefox"
"17 Tablets","Mobile Firefox"
"18 Tablets","Mobile Firefox"
19,"Mobile Firefox"
"19 Tablets","Mobile Firefox"
19,"Mobile Firefox"
"19 Tablets","Mobile Firefox"
"19 Tablets.next","Mobile Firefox"
"20 Tablets","Mobile Firefox"
20,"Mobile Firefox"
"21 Tablet","Mobile Firefox"
21,"Mobile Firefox"
21,"Mobile Firefox"
22,"Mobile Firefox"
"22 Tablet","Mobile Firefox"
23,"Mobile Firefox"
"23 Tablet","Mobile Firefox"
24,"Mobile Firefox"
"24 Tablet","Mobile Firefox"
25,"Mobile Firefox"
"25 Tablet","Mobile Firefox"
26,"Mobile Firefox"
"26 Tablet","Mobile Firefox"
26.next,"Mobile Firefox"
27,"Mobile Firefox"
"27 Tablet","Mobile Firefox"
27,"Mobile Firefox"
"27 Tablet","Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
"28 Tablet","Mobile Firefox"
"28 Tablet","Mobile Firefox"
"28 Tablet","Mobile Firefox"
"28 Tablet","Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
28,"Mobile Firefox"
"28 Tablet","Mobile Firefox"
"28 Tablet","Mobile Firefox"
"29 Tablet","Mobile Firefox"
"29 Tablet","Mobile Firefox"
29,"Mobile Firefox"
29,"Mobile Firefox"
"30 Tablet","Mobile Firefox"
30,"Mobile Firefox"
30,"Mobile Firefox"
30,"Mobile Firefox"
"30 Tablet","Mobile Firefox"
"30 Tablet","Mobile Firefox"
1,Mozillians
0.9,MozTrap
0.8,MozTrap
1.0,MozTrap
1.0,MozTrap
1.1,MozTrap
1.1.1,MozTrap
1.1.2,MozTrap
1.2,MozTrap
1.3,MozTrap
1.3.5,MozTrap
1.3.7,MozTrap
1.4,MozTrap
1.4.5,MozTrap
1.0,Pancake
1,"product for testing"
2,"product for testing"
3,"product for testing"
5,"product for testing"
whee,"Raspberry jam"
1,SUMO
2,SUMO
1,SUMO
1,Test
13,testing
13,testing
Trunk,Thunderbird
1.0,"Tony's product"
